"instance","label","avgx1","avgx2","avgx3","avgx4","avgx5","avgx6","avgx7","avgx8","avgx9","avgx10","avgx11","avgx12","avgx13","avgx14","avgx15","avgx16","avgx17","avgx18","avgx19","avgx20","avgx21","avgx22","avgx23","avgx24","avgx25","avgx26","avgx27","avgx28","avgy1","avgy2","avgy3","avgy4","avgy5","avgy6","avgy7","avgy8","avgy9","avgy10","avgy11","avgy12","avgy13","avgy14","avgy15","avgy16","avgy17","avgy18","avgy19","avgy20","avgy21","avgy22","avgy23","avgy24","avgy25","avgy26","avgy27","avgy28","transx1","transx2","transx3","transx4","transx5","transx6","transx7","transx8","transx9","transx10","transx11","transx12","transx13","transx14","transx15","transx16","transx17","transx18","transx19","transx20","transx21","transx22","transx23","transx24","transx25","transx26","transx27","transx28","transy1","transy2","transy3","transy4","transy5","transy6","transy7","transy8","transy9","transy10","transy11","transy12","transy13","transy14","transy15","transy16","transy17","transy18","transy19","transy20","transy21","transy22","transy23","transy24","transy25","transy26","transy27","transy28"
11,3,0,0,0,0,0,0,8.57142857142857,27.4285714285714,23.9642857142857,24.5714285714286,31.1071428571429,63.9285714285714,102.678571428571,118,130.464285714286,140.357142857143,151.964285714286,134.357142857143,60.0714285714286,2.10714285714286,0,0,0,0,0,0,0,0,0,0,0,0,42.9642857142857,71.6071428571429,85.3571428571429,61.8928571428571,39.0357142857143,27.2142857142857,27.0357142857143,22.6071428571429,36.0357142857143,64.1785714285714,71.3571428571429,64.5714285714286,48.3928571428571,41.6428571428571,48.1071428571429,52.3928571428571,61.75,65.2857142857143,60.0357142857143,28.1071428571429,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
12,5,0,0,0,0,0,0,13.4642857142857,28.9642857142857,29.1785714285714,20.8928571428571,17.3928571428571,38.1785714285714,57.25,61.2142857142857,37.5,21.3928571428571,20.1071428571429,16.0357142857143,18.75,17.3928571428571,20.1071428571429,20.1785714285714,19,20.8928571428571,17.6785714285714,13.3571428571429,0,0,0,0,0,0,0,0,0,42.9642857142857,66.8571428571429,41.7142857142857,40.75,26.5,26.75,20.9642857142857,20.0714285714286,18.7857142857143,19.7857142857143,36.3571428571429,57.7142857142857,60.1785714285714,29.5357142857143,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
13,3,0,0,0,14.4642857142857,24.3214285714286,22.6428571428571,24.4642857142857,35.5357142857143,57.2857142857143,66.25,59.3214285714286,69.0714285714286,76.1785714285714,87.6428571428571,94.6428571428571,115.678571428571,111.25,100,93.6428571428571,84.75,70.4642857142857,53.4642857142857,16.1071428571429,0,0,0,0,0,0,0,0,42.7857142857143,95.5,106.357142857143,77.7857142857143,58.3214285714286,44.5357142857143,36.3928571428571,39.7142857142857,50.8928571428571,63.2142857142857,86.1071428571429,72.7142857142857,49.7857142857143,39,34.3214285714286,32.0714285714286,39.3571428571429,119.785714285714,126.75,61.7857142857143,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
14,6,0,0,0,0,0,0,0,20.8214285714286,64,87.7857142857143,76.0357142857143,79.6071428571429,91.25,92.2857142857143,92.2857142857143,93.25,76.0357142857143,73.4642857142857,60,45.0357142857143,40.75,21,2.21428571428571,0,0,0,0,0,0,0,0,0,0,0,48.3214285714286,78.3571428571429,72.3571428571429,69.4642857142857,65.3214285714286,74.5714285714286,78.5,78.3928571428571,89.5,71.6071428571429,41.7857142857143,26.6785714285714,25.0357142857143,21.0357142857143,30.1785714285714,32.25,32.25,34,28.8928571428571,17.3214285714286,0,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
15,1,0,0,0,0,0,0,0,0,0,0,0,0.392857142857143,36.5357142857143,166.285714285714,157.678571428571,54.1785714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9642857142857,21.3928571428571,22.6785714285714,20.75,23.0714285714286,20.4285714285714,20.1785714285714,20.1785714285714,21.4285714285714,23.0714285714286,23.1071428571429,23.0714285714286,23.0714285714286,23.0714285714286,22.8928571428571,19.8571428571429,17.8214285714286,20.2142857142857,21.1428571428571,15.6785714285714,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
16,7,0,0,0,0,0,0,12.0714285714286,34.0357142857143,51.4642857142857,73.3571428571429,72.5714285714286,68.0357142857143,58.3928571428571,61.8928571428571,59.3928571428571,67.6428571428571,67.3571428571429,69.3571428571429,73.2857142857143,61.8214285714286,49.8214285714286,22.9285714285714,0,0,0,0,0,0,0,14.2142857142857,23.1785714285714,23.6785714285714,27.6785714285714,24.7142857142857,27.2142857142857,28.4642857142857,28.4285714285714,28.6785714285714,33.3571428571429,30.6785714285714,33.2142857142857,48.5714285714286,64.6428571428571,68.5714285714286,80.0714285714286,93.7142857142857,110.785714285714,73.6785714285714,39.8928571428571,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
17,2,0,0,0,0,0,0,32.8214285714286,43,38.5357142857143,56.9285714285714,54.25,45.8571428571429,47.4285714285714,48.8928571428571,52.3928571428571,65.2857142857143,75.4285714285714,112.964285714286,90.1428571428571,39.0357142857143,13.5714285714286,15.3571428571429,13.2857142857143,13.3214285714286,14.2142857142857,7.10714285714286,0,0,0,0,0,0,0,48.8571428571429,62.2857142857143,43.4285714285714,42.6071428571429,66.7142857142857,100.214285714286,100.071428571429,75,30.4642857142857,21.5714285714286,21.5,21.8571428571429,23.8928571428571,32.6785714285714,39.1428571428571,44.75,62.75,42.0357142857143,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
18,8,0,0,0,0,0,0,0,21.8214285714286,53.1785714285714,59.8214285714286,61.75,98.9285714285714,121.178571428571,108.821428571429,101.642857142857,79.2857142857143,48.5714285714286,51.5714285714286,45.6071428571429,40.8571428571429,46.6071428571429,26.1428571428571,2.28571428571429,0,0,0,0,0,0,0,0,24.3571428571429,44.5,48.2142857142857,46.7142857142857,45.8928571428571,45.3571428571429,44.2142857142857,52.4285714285714,48.6071428571429,39.8214285714286,47.8571428571429,56.7857142857143,55.75,53.5,51.8214285714286,61.3214285714286,84.1428571428571,73.8571428571429,25.9642857142857,16.9642857142857,0,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
19,6,0,0,0,0,0,0,0,0,0,12.0357142857143,73.9285714285714,53.2142857142857,43,37.5357142857143,47.8214285714286,41.3928571428571,39.4285714285714,41.1785714285714,51.6785714285714,44.1071428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,44.1071428571429,38.1785714285714,26.8928571428571,23.8214285714286,23.3214285714286,21.4642857142857,24.6071428571429,33,38.0357142857143,46.7857142857143,16.4285714285714,13.5357142857143,14.9285714285714,15.0357142857143,14.7857142857143,14.7857142857143,16.7142857142857,16.9642857142857,24.3214285714286,17.6071428571429,0,0,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
20,9,0,0,0,0,0,0,0,1.92857142857143,12.25,20.0714285714286,27.8928571428571,66.8928571428571,86.4642857142857,80.8571428571429,86.1785714285714,78.8571428571429,52.8214285714286,37.9285714285714,46.6785714285714,31.8214285714286,2.85714285714286,0,0,0,0,0,0,0,0,15.6785714285714,20.0714285714286,20.6428571428571,21.2857142857143,22.6785714285714,20.3214285714286,21.6785714285714,19.1428571428571,19.7857142857143,22.6785714285714,21,28.75,53.5357142857143,52.6071428571429,41.5714285714286,38.25,42.6071428571429,56.4285714285714,59.8571428571429,34.9285714285714,0,0,0,0,0,0,0,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
21,4,0,0,0,18.25,41.8928571428571,56.8571428571429,67.9285714285714,86,72.4642857142857,47.5714285714286,37,36.3928571428571,34.3571428571429,30.6785714285714,38.6428571428571,35.9642857142857,49.75,125.535714285714,160.892857142857,159.464285714286,87.5,29.7142857142857,3.17857142857143,0,0,0,0,0,0,0,0,0,15.6428571428571,30.4285714285714,37.5357142857143,42.0714285714286,38.5714285714286,57.3928571428571,81.8571428571429,113.285714285714,124.321428571429,126.928571428571,98.3571428571429,77.5357142857143,64.3571428571429,63.1428571428571,70.7142857142857,62.9285714285714,47.3928571428571,39.2142857142857,19.3214285714286,9.03571428571429,0,0,0,0,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
22,0,0,0,0,0,0,31.1428571428571,56.2142857142857,82.9285714285714,86.3214285714286,58.6785714285714,65.9642857142857,67.3928571428571,61,56.2142857142857,68.7142857142857,78.6071428571429,81.3928571428571,80.75,66.7142857142857,79.3928571428571,118.678571428571,112.214285714286,13.1428571428571,0,0,0,0,0,0,0,0,0,32.9285714285714,65.1785714285714,92.6071428571429,92.8928571428571,67.8571428571429,56.2142857142857,56.1428571428571,56.1428571428571,44.9285714285714,36.0714285714286,49.1785714285714,70.2142857142857,84.25,97.5357142857143,92.6071428571429,80.0357142857143,71.6428571428571,56.1785714285714,40.1785714285714,22.6785714285714,0,0,0,0,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
23,9,0,0,0,0,0,0,0,0,0,4,60.0714285714286,75,65.5,60.6428571428571,55.5,49.1785714285714,45.6071428571429,44.3214285714286,50.4642857142857,46.2857142857143,2.39285714285714,0,0,0,0,0,0,0,0,0,12.0714285714286,15.1785714285714,14.3928571428571,16,14.5,16.75,15.9642857142857,16,34.1071428571429,56.6785714285714,41,35.8928571428571,37.3214285714286,36.0714285714286,37.0357142857143,32.3928571428571,29.1428571428571,30.4642857142857,37.8214285714286,30.1785714285714,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
24,1,0,0,0,0,0,0,0,0,5.07142857142857,40.5714285714286,62.25,58.2142857142857,53.2142857142857,48.1428571428571,45.7142857142857,53.5357142857143,48.8571428571429,48.2142857142857,53.2142857142857,45.2857142857143,24.7142857142857,5.03571428571429,0,0,0,0,0,0,0,0,0,18.1785714285714,25.6785714285714,23.5,29.0714285714286,28.75,31.8928571428571,31.8928571428571,31.8928571428571,31.9642857142857,32.1071428571429,31.9642857142857,30.7142857142857,30.1428571428571,31.8928571428571,36.6071428571429,33.5357142857143,31.9285714285714,31.9642857142857,30.1071428571429,18.25,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
25,1,0,0,0,0,0,0,7.89285714285714,32.7857142857143,40.2857142857143,42.6785714285714,43.5714285714286,40.3571428571429,42.2142857142857,45.8214285714286,54.1071428571429,140.75,156.785714285714,79.1071428571429,14.5714285714286,14.5714285714286,19.7857142857143,9.28571428571429,0,0,0,0,0,0,0,0,0,0,0,18.6071428571429,40.1071428571429,97.1428571428571,108.928571428571,32.0357142857143,18.3214285714286,19.1428571428571,20.0357142857143,24.1785714285714,27.1785714285714,65.1071428571429,64.3571428571429,49.8571428571429,42.6071428571429,35.4642857142857,27.1785714285714,26.0357142857143,28.3928571428571,24.0714285714286,15.8214285714286,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
26,2,0,0,0,0,0,2.14285714285714,14.9285714285714,48.8928571428571,73.5357142857143,96.0357142857143,101.142857142857,101.75,93.9285714285714,89.75,98.8214285714286,103.357142857143,106.25,104.107142857143,108.142857142857,99.2857142857143,90.25,65.8214285714286,41.3928571428571,14.8571428571429,2.07142857142857,0,0,0,0,0,0,0,39.7142857142857,84.3928571428571,132.142857142857,151.928571428571,114.464285714286,74.75,38.1428571428571,35.6071428571429,42.1428571428571,58,58.1785714285714,54.75,53.5,44,44.5,76.1071428571429,128.035714285714,117.321428571429,76.5357142857143,32.25,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
27,4,0,0,0,0,0,0,0,0,0.928571428571429,39.2857142857143,46.25,23.6785714285714,16.5,27.2142857142857,56.5357142857143,69.7142857142857,90,72.9642857142857,36.5,5.39285714285714,0,0,0,0,0,0,0,0,0,0,11.9285714285714,13.75,16.4285714285714,17.7142857142857,14.3571428571429,14.3928571428571,14.6785714285714,15.3571428571429,14.4285714285714,13.2142857142857,44.1428571428571,65.9642857142857,48.1428571428571,30.25,33.1785714285714,29.6785714285714,27.4642857142857,31.1071428571429,17.9642857142857,10.8214285714286,0,0,0,0,0,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
28,3,0,0,0,0,9.82142857142857,31.1785714285714,57.6428571428571,68.6071428571429,63.1785714285714,62.3571428571429,64.3571428571429,83.6428571428571,96.8214285714286,110.107142857143,110.107142857143,121.75,145.571428571429,155.821428571429,155.821428571429,138.464285714286,99.3571428571429,44.3928571428571,24.0357142857143,3.82142857142857,0,0,0,0,0,0,0,59.5,100.25,129.571428571429,134.285714285714,87,40.6071428571429,33.1071428571429,39.9642857142857,43.8214285714286,60.5357142857143,81.0357142857143,76.6785714285714,81.0357142857143,71.6428571428571,59.3571428571429,85.2857142857143,142.642857142857,148.392857142857,114.5,57.6428571428571,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
29,2,0,0,0,0,19.7857142857143,37.2142857142857,41.5,41.8214285714286,38.3928571428571,41.3928571428571,73.8214285714286,93.1071428571429,98.8571428571429,109.142857142857,105.75,112.142857142857,110.892857142857,113.607142857143,123.035714285714,117.321428571429,90.1071428571429,72.8214285714286,33.1428571428571,14.2857142857143,0,0,0,0,0,0,0,54.3571428571429,113.5,120.535714285714,80.2142857142857,42.3571428571429,44.2857142857143,52.6785714285714,49.3928571428571,46.5,42.2142857142857,37.9285714285714,35.5,33.5714285714286,41.1071428571429,70.2142857142857,131.785714285714,160.464285714286,140.107142857143,123.285714285714,68.1428571428571,0,0,0,0,0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
30,7,0,3.10714285714286,0,0,0,0,0,0,4.64285714285714,46.5714285714286,57.2857142857143,51.2857142857143,50.3928571428571,54.7857142857143,53.25,44.5,42.6785714285714,49.5357142857143,46.8571428571429,37.6428571428571,19.7857142857143,0,0,0,0,0,0,0,0,0,0,0,1.57142857142857,16.6071428571429,22.3214285714286,28.1071428571429,28.8571428571429,30.9642857142857,29.7142857142857,29.7142857142857,31.1785714285714,31.2857142857143,33.6071428571429,58.0714285714286,78.0714285714286,79.8928571428571,58.0357142857143,4.32142857142857,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
31,3,0,0,0,20.0714285714286,21.8571428571429,19.8571428571429,17.6428571428571,20.3571428571429,19.8928571428571,19.1428571428571,30.6785714285714,40.7142857142857,47.3928571428571,75.6428571428571,103.392857142857,106.107142857143,82.2857142857143,48.5357142857143,41.4285714285714,50.25,56.5714285714286,57.5357142857143,31.4285714285714,0,0,0,0,0,0,0,0,0,0,23.4642857142857,65.4285714285714,78.25,51.6428571428571,34,32.2142857142857,29.6071428571429,51.1785714285714,93.6785714285714,75.5357142857143,40.0714285714286,33.1785714285714,46.1071428571429,95.0714285714286,114.857142857143,46.5,0,0,0,0,0,0,0,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
