YEAR	TEST.ID	BLOCK	TRAP	TRAP_TYPE	TEST.DATE	NUMBER.OF.MOSQUITOES	SPECIES	LOCATION	LATITUDE	LONGITUDE
12	2019	49954	70XX W ARMITAGE AVE	T151	GRAVID	2019-09-26 12:09:00	6	CULEX RESTUANS	41.91613471854847, -87.80109280863755	41.9161347185485	-87.8010928086375
13	2019	49971	21XX N CANNON DR	T054C	GRAVID	2019-09-26 12:09:00	2	CULEX RESTUANS	41.921776903428494, -87.63214045192028	41.9217769034285	-87.6321404519203
14	2019	49968	22XX N CANNON DR	T054A	GRAVID	2019-09-26 12:09:00	1	CULEX TERRITANS	41.92273664946568, -87.63244996720142	41.9227366494657	-87.6324499672014
15	2019	50014	3XX W 104TH ST	T095	GRAVID	2019-09-26 12:09:00	1	CULEX TERRITANS	41.70532764418326, -87.63295536539816	41.7053276441833	-87.6329553653982
16	2019	49924	36XX N PITTSBURGH AVE	T011	GRAVID	2019-09-26 12:09:00	28	CULEX PIPIENS/RESTUANS	41.94596109447193, -87.83294247349616	41.9459610944719	-87.8329424734962
18	2019	49950	5XX S CENTRAL AVE	T031	GRAVID	2019-09-26 12:09:00	1	CULEX TARSALIS	41.87287286249572, -87.7647365320396	41.8728728624957	-87.7647365320396
19	2019	49937	58XX N WESTERN AVE	T028	GRAVID	2019-09-26 12:09:00	36	CULEX PIPIENS/RESTUANS	41.98724460846669, -87.68941677018957	41.9872446084667	-87.6894167701896
20	2019	49955	25XX S MILLARD AVE	T152	GRAVID	2019-09-26 12:09:00	17	CULEX PIPIENS/RESTUANS	41.845715401799, -87.7158985974353	41.845715401799	-87.7158985974353
21	2019	50018	89XX S MUSKEGON AVE	T099	GRAVID	2019-09-26 12:09:00	12	CULEX PIPIENS/RESTUANS	41.73318787971678, -87.55562868950284	41.7331878797168	-87.5556286895028
22	2019	49987	82XX S KOSTNER AVE	T225	GRAVID	2019-09-26 12:09:00	1	CULEX TERRITANS	41.7426704781299, -87.73155005887604	41.7426704781299	-87.731550058876
23	2019	50021	127XX S DOTY AVE	T115	GRAVID	2019-09-26 12:09:00	10	CULEX PIPIENS/RESTUANS	41.66238672759086, -87.59017972751752	41.6623867275909	-87.5901797275175
24	2019	49947	1XX N CENTRAL PARK DR	T030	GRAVID	2019-09-26 12:09:00	21	CULEX PIPIENS/RESTUANS	41.8837717767951, -87.71616836510131	41.8837717767951	-87.7161683651013
25	2019	49927	39XX N SPRINGFIELD AVE	T228	GRAVID	2019-09-26 12:09:00	8	CULEX PIPIENS/RESTUANS	41.95366415238544, -87.72498719138876	41.9536641523854	-87.7249871913888
27	2019	49970	21XX N CANNON DR	T054C	GRAVID	2019-09-26 12:09:00	8	CULEX PIPIENS/RESTUANS	41.921776903428494, -87.63214045192028	41.9217769034285	-87.6321404519203
28	2019	49941	17XX W ADDISON ST	T224	GRAVID	2019-09-26 12:09:00	9	CULEX PIPIENS/RESTUANS	41.94704449504484, -87.67306105349785	41.9470444950448	-87.6730610534978
29	2019	49991	5XX W 72ND ST	T035	GRAVID	2019-09-26 12:09:00	34	CULEX PIPIENS/RESTUANS	41.76337092198238, -87.6378726141474	41.7633709219824	-87.6378726141474
30	2019	49988	42XX W 65TH ST	T235	GRAVID	2019-09-26 12:09:00	41	CULEX PIPIENS/RESTUANS	41.7748411153277, -87.72800581922763	41.7748411153277	-87.7280058192276
31	2019	49921	70XX N MOSELLE AVE	T008	GRAVID	2019-09-26 12:09:00	1	CULEX PIPIENS/RESTUANS	42.007997503125345, -87.77823496507851	42.0079975031253	-87.7782349650785
32	2019	49948	1XX N CENTRAL PARK DR	T030	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.8837717767951, -87.71616836510131	41.8837717767951	-87.7161683651013
33	2019	49994	39XX S ASHLAND AVE	T074	GRAVID	2019-09-26 12:09:00	50	CULEX PIPIENS/RESTUANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
34	2019	49940	45XX N CAMPBELL AVE	T220	GRAVID	2019-09-26 12:09:00	28	CULEX PIPIENS/RESTUANS	41.96440545399697, -87.69137039109717	41.964405453997	-87.6913703910972
35	2019	49982	52XX S KOLMAR AVE	T114	GRAVID	2019-09-26 12:09:00	32	CULEX PIPIENS/RESTUANS	41.79821072626856, -87.73692496319906	41.7982107262686	-87.7369249631991
36	2019	50008	119XX S ASHLAND AVE	T090	GRAVID	2019-09-26 12:09:00	7	CULEX PIPIENS/RESTUANS	41.67688731618708, -87.66122192616795	41.6768873161871	-87.661221926168
37	2019	49939	28XX N FRANCISCO AVE	T147	GRAVID	2019-09-26 12:09:00	9	CULEX PIPIENS/RESTUANS	41.93279020985206, -87.7002378838387	41.9327902098521	-87.7002378838387
38	2019	50017	89XX S CARPENTER ST	T159	GRAVID	2019-09-26 12:09:00	3	CULEX RESTUANS	41.73144685817715, -87.64972225277589	41.7314468581772	-87.6497222527759
39	2019	49961	25XX W GRAND AVE	T046	GRAVID	2019-09-26 12:09:00	2	CULEX PIPIENS/RESTUANS	41.89221998323666, -87.69169772868295	41.8922199832367	-87.691697728683
40	2019	50019	89XX S MUSKEGON AVE	T099	GRAVID	2019-09-26 12:09:00	3	CULEX RESTUANS	41.73318787971678, -87.55562868950284	41.7331878797168	-87.5556286895028
41	2019	49978	37XX S PULASKI RD	T063	GRAVID	2019-09-26 12:09:00	10	CULEX PIPIENS/RESTUANS	41.82539825646484, -87.72396213667864	41.8253982564648	-87.7239621366786
42	2019	50001	77XX S EBERHART AVE	T080	GRAVID	2019-09-26 12:09:00	48	CULEX PIPIENS/RESTUANS	41.75414841411549, -87.61272102258191	41.7541484141155	-87.6127210225819
43	2019	49931	71XX N HARLEM AVE	T233	GRAVID	2019-09-26 12:09:00	1	CULEX TARSALIS	42.0106432736568, -87.80679730045945	42.0106432736568	-87.8067973004595
44	2019	50000	71XX S SOUTH SHORE DR	T079	GRAVID	2019-09-26 12:09:00	15	CULEX PIPIENS/RESTUANS	41.76575252485466, -87.56246520793836	41.7657525248547	-87.5624652079384
45	2019	50005	9XX W GARFIELD BLVD	T226	GRAVID	2019-09-26 12:09:00	12	CULEX PIPIENS/RESTUANS	41.79436647814991, -87.64892513653469	41.7943664781499	-87.6489251365347
46	2019	49946	61XX W FULLERTON AVE	T013	GRAVID	2019-09-26 12:09:00	1	CULEX TERRITANS	41.92388736426867, -87.77890991205359	41.9238873642687	-87.7789099120536
47	2019	49997	39XX S ASHLAND AVE	T074	GRAVID	2019-09-26 12:09:00	3	CULEX TERRITANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
48	2019	50022	24XX E 105TH ST	T128	GRAVID	2019-09-26 12:09:00	10	CULEX PIPIENS/RESTUANS	41.704687213624375, -87.5642355621286	41.7046872136244	-87.5642355621286
49	2019	49928	39XX N SPRINGFIELD AVE	T228	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.95366415238544, -87.72498719138876	41.9536641523854	-87.7249871913888
50	2019	50006	9XX W GARFIELD BLVD	T226	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.79436647814991, -87.64892513653469	41.7943664781499	-87.6489251365347
51	2019	49972	20XX N DOMINICK ST	T240	GRAVID	2019-09-26 12:09:00	4	CULEX PIPIENS/RESTUANS	41.91867575415674, -87.66437444367844	41.9186757541567	-87.6643744436784
52	2019	50028	4XX E 130TH ST	T221	GRAVID	2019-09-26 12:09:00	3	CULEX PIPIENS	41.65923601846575, -87.61201512813366	41.6592360184657	-87.6120151281337
53	2019	49973	20XX N DOMINICK ST	T240	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.91867575415674, -87.66437444367844	41.9186757541567	-87.6643744436784
54	2019	49965	11XX W ROOSEVELT RD	T048	GRAVID	2019-09-26 12:09:00	3	CULEX RESTUANS	41.86691518161014, -87.65491884363057	41.8669151816101	-87.6549188436306
56	2019	49993	10XX E 67TH ST	T073	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.773085401492715, -87.60016755939222	41.7730854014927	-87.6001675593922
57	2019	49975	22XX W 51ST ST	T061	GRAVID	2019-09-26 12:09:00	2	CULEX PIPIENS/RESTUANS	41.80104785720396, -87.68042473369341	41.801047857204	-87.6804247336934
58	2019	49953	70XX W ARMITAGE AVE	T151	GRAVID	2019-09-26 12:09:00	12	CULEX PIPIENS/RESTUANS	41.91613471854847, -87.80109280863755	41.9161347185485	-87.8010928086375
59	2019	50026	131XX S BRANDON AVE	T209	GRAVID	2019-09-26 12:09:00	9	CULEX RESTUANS	41.657068875649955, -87.54604886505916	41.65706887565	-87.5460488650592
60	2019	49974	25XX W GRAND AVE	T046B	SENTINEL	2019-09-26 12:09:00	6	CULEX PIPIENS/RESTUANS	41.891454520945864, -87.68976265642561	41.8914545209459	-87.6897626564256
61	2019	49990	55XX S NARRAGANSETT AVE	T242	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.79168956384981, -87.78163597127872	41.7916895638498	-87.7816359712787
62	2019	49981	22XX W 69TH ST	T069	GRAVID	2019-09-26 12:09:00	4	CULEX PIPIENS/RESTUANS	41.768485667016584, -87.67946342813606	41.7684856670166	-87.6794634281361
63	2019	49956	25XX S MILLARD AVE	T152	GRAVID	2019-09-26 12:09:00	4	CULEX RESTUANS	41.845715401799, -87.7158985974353	41.845715401799	-87.7158985974353
65	2019	49969	22XX N CANNON DR	T054B	GRAVID	2019-09-26 12:09:00	2	CULEX TERRITANS	41.92206380002785, -87.63223305992274	41.9220638000278	-87.6322330599227
66	2019	49923	91XX W HIGGINS RD	T009	GRAVID	2019-09-26 12:09:00	4	CULEX RESTUANS	41.988586396324166, -87.85447335120561	41.9885863963242	-87.8544733512056
67	2019	49938	58XX N WESTERN AVE	T028	GRAVID	2019-09-26 12:09:00	2	CULEX RESTUANS	41.98724460846669, -87.68941677018957	41.9872446084667	-87.6894167701896
68	2019	50029	4XX E 130TH ST	T221	GRAVID	2019-09-26 12:09:00	20	CULEX PIPIENS/RESTUANS	41.65923601846575, -87.61201512813366	41.6592360184657	-87.6120151281337
69	2019	49957	25XX S MILLARD AVE	T152	GRAVID	2019-09-26 12:09:00	1	CULEX TERRITANS	41.845715401799, -87.7158985974353	41.845715401799	-87.7158985974353
70	2019	50007	104XX S VINCENNES AVE	T089	GRAVID	2019-09-26 12:09:00	3	CULEX PIPIENS/RESTUANS	41.70433841525342, -87.65708427193195	41.7043384152534	-87.657084271932
71	2019	49977	35XX W 51ST ST	T062	GRAVID	2019-09-26 12:09:00	27	CULEX PIPIENS/RESTUANS	41.8005970872007, -87.7117303452467	41.8005970872007	-87.7117303452467
72	2019	49960	1XX N CENTRAL PARK DR	T030B	SENTINEL	2019-09-26 12:09:00	4	CULEX RESTUANS	41.88371129460932, -87.71609209177537	41.8837112946093	-87.7160920917754
73	2019	49996	39XX S ASHLAND AVE	T074	GRAVID	2019-09-26 12:09:00	3	CULEX RESTUANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
74	2019	50023	101XX S STONY ISLAND AVE	T138	GRAVID	2019-09-26 12:09:00	19	CULEX PIPIENS/RESTUANS	41.71054240215372, -87.58455893336821	41.7105424021537	-87.5845589333682
75	2019	50020	109XX S COTTAGE GROVE AVE	T102	GRAVID	2019-09-26 12:09:00	15	CULEX PIPIENS/RESTUANS	41.695494070048184, -87.60908176561364	41.6954940700482	-87.6090817656136
76	2019	49935	12XX W GREENLEAF AVE	T018	GRAVID	2019-09-26 12:09:00	2	CULEX PIPIENS/RESTUANS	42.01052928915475, -87.6608450688439	42.0105292891548	-87.6608450688439
77	2019	49980	67XX S KEDZIE AVE	T066	GRAVID	2019-09-26 12:09:00	19	CULEX PIPIENS/RESTUANS	41.77119858797388, -87.70310660774493	41.7711985879739	-87.7031066077449
78	2019	50011	3XX W 104TH ST	T095	GRAVID	2019-09-26 12:09:00	9	CULEX PIPIENS/RESTUANS	41.70532764418326, -87.63295536539816	41.7053276441833	-87.6329553653982
79	2019	50025	131XX S BRANDON AVE	T209	GRAVID	2019-09-26 12:09:00	26	CULEX PIPIENS/RESTUANS	41.657068875649955, -87.54604886505916	41.65706887565	-87.5460488650592
80	2019	49945	61XX W FULLERTON AVE	T013	GRAVID	2019-09-26 12:09:00	5	CULEX RESTUANS	41.92388736426867, -87.77890991205359	41.9238873642687	-87.7789099120536
81	2019	49949	5XX S CENTRAL AVE	T031	GRAVID	2019-09-26 12:09:00	8	CULEX PIPIENS/RESTUANS	41.87287286249572, -87.7647365320396	41.8728728624957	-87.7647365320396
82	2019	49920	46XX N MILWAUKEE AVE	T003	GRAVID	2019-09-26 12:09:00	23	CULEX PIPIENS/RESTUANS	41.96537485879688, -87.75841171521544	41.9653748587969	-87.7584117152154
83	2019	49976	22XX W 51ST ST	T061	GRAVID	2019-09-26 12:09:00	2	CULEX RESTUANS	41.80104785720396, -87.68042473369341	41.801047857204	-87.6804247336934
84	2019	50003	77XX S EBERHART AVE	T080	GRAVID	2019-09-26 12:09:00	1	CULEX TERRITANS	41.75414841411549, -87.61272102258191	41.7541484141155	-87.6127210225819
85	2019	49959	1XX N CENTRAL PARK DR	T030B	SENTINEL	2019-09-26 12:09:00	7	CULEX PIPIENS/RESTUANS	41.88371129460932, -87.71609209177537	41.8837112946093	-87.7160920917754
86	2019	49999	64XX S STONY ISLAND AVE	T077	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.778128857884745, -87.58624503516381	41.7781288578847	-87.5862450351638
87	2019	49943	58XX N RIDGE AVE	T231	GRAVID	2019-09-26 12:09:00	25	CULEX PIPIENS/RESTUANS	41.98788069188603, -87.66678507548095	41.987880691886	-87.6667850754809
88	2019	49979	52XX W 63RD ST	T065	GRAVID	2019-09-26 12:09:00	6	CULEX PIPIENS/RESTUANS	41.77830515554422, -87.75436628603191	41.7783051555442	-87.7543662860319
89	2019	49926	61XX N LEMONT AVE	T012	GRAVID	2019-09-26 12:09:00	4	CULEX PIPIENS/RESTUANS	41.99356436155678, -87.74542038704298	41.9935643615568	-87.745420387043
90	2019	50010	17XX W 95TH ST	T094	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.72128749967918, -87.66523570170051	41.7212874996792	-87.6652357017005
91	2019	49963	11XX S CALIFORNIA AVE	T047	GRAVID	2019-09-26 12:09:00	8	CULEX PIPIENS/RESTUANS	41.86759925367238, -87.69578544257037	41.8675992536724	-87.6957854425704
92	2019	49958	13XX N LARAMIE AVE	T230	GRAVID	2019-09-26 12:09:00	3	CULEX PIPIENS/RESTUANS	41.904773447835936, -87.75568575289235	41.9047734478359	-87.7556857528923
93	2019	49962	25XX W GRAND AVE	T046	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.89221998323666, -87.69169772868295	41.8922199832367	-87.691697728683
94	2019	50024	101XX S STONY ISLAND AVE	T138	GRAVID	2019-09-26 12:09:00	6	CULEX RESTUANS	41.71054240215372, -87.58455893336821	41.7105424021537	-87.5845589333682
95	2019	49919	41XX N OAK PARK AVE	T002	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.956298856118664, -87.79751744482932	41.9562988561187	-87.7975174448293
96	2019	50002	77XX S EBERHART AVE	T080	GRAVID	2019-09-26 12:09:00	8	CULEX RESTUANS	41.75414841411549, -87.61272102258191	41.7541484141155	-87.6127210225819
97	2019	49989	55XX S NARRAGANSETT AVE	T242	GRAVID	2019-09-26 12:09:00	2	CULEX PIPIENS/RESTUANS	41.79168956384981, -87.78163597127872	41.7916895638498	-87.7816359712787
98	2019	50012	3XX W 104TH ST	T095	GRAVID	2019-09-26 12:09:00	2	CULEX RESTUANS	41.70532764418326, -87.63295536539816	41.7053276441833	-87.6329553653982
99	2019	49985	82XX S KOSTNER AVE	T225	GRAVID	2019-09-26 12:09:00	47	CULEX PIPIENS/RESTUANS	41.7426704781299, -87.73155005887604	41.7426704781299	-87.731550058876
101	2019	50004	50XX S UNION AVE	T082	GRAVID	2019-09-26 12:09:00	2	CULEX PIPIENS/RESTUANS	41.802359308973436, -87.64307591923095	41.8023593089734	-87.643075919231
102	2019	49930	71XX N HARLEM AVE	T233	GRAVID	2019-09-26 12:09:00	2	CULEX RESTUANS	42.0106432736568, -87.80679730045945	42.0106432736568	-87.8067973004595
103	2019	49964	11XX W ROOSEVELT RD	T048	GRAVID	2019-09-26 12:09:00	14	CULEX PIPIENS/RESTUANS	41.86691518161014, -87.65491884363057	41.8669151816101	-87.6549188436306
104	2019	49944	61XX W FULLERTON AVE	T013	GRAVID	2019-09-26 12:09:00	10	CULEX PIPIENS/RESTUANS	41.92388736426867, -87.77890991205359	41.9238873642687	-87.7789099120536
105	2019	49932	62XX N MCCLELLAN AVE	T236	GRAVID	2019-09-26 12:09:00	6	CULEX PIPIENS/RESTUANS	41.99496630402897, -87.77083721987879	41.994966304029	-87.7708372198788
106	2019	49942	58XX N RIDGE AVE	T231	GRAVID	2019-09-26 12:09:00	50	CULEX PIPIENS/RESTUANS	41.98788069188603, -87.66678507548095	41.987880691886	-87.6667850754809
108	2019	49983	52XX S KOLMAR AVE	T114	GRAVID	2019-09-26 12:09:00	1	CULEX RESTUANS	41.79821072626856, -87.73692496319906	41.7982107262686	-87.7369249631991
109	2019	50027	37XX E 118TH ST	T212	GRAVID	2019-09-26 12:09:00	5	CULEX PIPIENS/RESTUANS	41.681034931122895, -87.53343646731054	41.6810349311229	-87.5334364673105
110	2019	49986	82XX S KOSTNER AVE	T225	GRAVID	2019-09-26 12:09:00	2	CULEX RESTUANS	41.7426704781299, -87.73155005887604	41.7426704781299	-87.731550058876
111	2019	50016	89XX S CARPENTER ST	T159	GRAVID	2019-09-26 12:09:00	10	CULEX PIPIENS/RESTUANS	41.73144685817715, -87.64972225277589	41.7314468581772	-87.6497222527759
112	2019	49922	91XX W HIGGINS RD	T009	GRAVID	2019-09-26 12:09:00	39	CULEX PIPIENS/RESTUANS	41.988586396324166, -87.85447335120561	41.9885863963242	-87.8544733512056
113	2019	49934	6XX W MONTROSE DR	T017	GRAVID	2019-09-26 12:09:00	16	CULEX PIPIENS/RESTUANS	41.96201463828783, -87.64684772570871	41.9620146382878	-87.6468477257087
114	2019	50013	3XX W 104TH ST	T095	GRAVID	2019-09-26 12:09:00	1	CULEX SALINARIUS	41.70532764418326, -87.63295536539816	41.7053276441833	-87.6329553653982
115	2019	49925	36XX N PITTSBURGH AVE	T011	GRAVID	2019-09-26 12:09:00	2	CULEX RESTUANS	41.94596109447193, -87.83294247349616	41.9459610944719	-87.8329424734962
116	2019	49967	22XX N CANNON DR	T054A	GRAVID	2019-09-26 12:09:00	6	CULEX PIPIENS/RESTUANS	41.92273664946568, -87.63244996720142	41.9227366494657	-87.6324499672014
117	2019	49908	131XX S BRANDON AVE	T209	GRAVID	2019-09-19 12:09:00	19	CULEX PIPIENS/RESTUANS	41.657068875649955, -87.54604886505916	41.65706887565	-87.5460488650592
118	2019	49837	13XX N LARAMIE AVE	T230	GRAVID	2019-09-19 12:09:00	6	CULEX PIPIENS/RESTUANS	41.904773447835936, -87.75568575289235	41.9047734478359	-87.7556857528923
119	2019	49888	50XX S UNION AVE	T082	GRAVID	2019-09-19 12:09:00	1	CULEX PIPIENS/RESTUANS	41.802359308973436, -87.64307591923095	41.8023593089734	-87.643075919231
121	2019	49878	39XX S ASHLAND AVE	T074	GRAVID	2019-09-19 12:09:00	1	CULEX TARSALIS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
122	2019	49846	11XX W CHICAGO AVE	T049	GRAVID	2019-09-19 12:09:00	11	CULEX PIPIENS/RESTUANS	41.896131092623506, -87.65676212387862	41.8961310926235	-87.6567621238786
123	2019	49876	39XX S ASHLAND AVE	T074	GRAVID	2019-09-19 12:09:00	9	CULEX PIPIENS/RESTUANS	41.82085850772701, -87.66510809467968	41.820858507727	-87.6651080946797
124	2019	49861	37XX S PULASKI RD	T063	GRAVID	2019-09-19 12:09:00	3	CULEX PIPIENS/RESTUANS	41.82539825646484, -87.72396213667864	41.8253982564648	-87.7239621366786
125	2019	49893	119XX S ASHLAND AVE	T090	GRAVID	2019-09-19 12:09:00	5	CULEX RESTUANS	41.67688731618708, -87.66122192616795	41.6768873161871	-87.661221926168
126	2019	49862	52XX W 63RD ST	T065	GRAVID	2019-09-19 12:09:00	15	CULEX PIPIENS/RESTUANS	41.77830515554422, -87.75436628603191	41.7783051555442	-87.7543662860319
127	2019	49883	71XX S SOUTH SHORE DR	T079	GRAVID	2019-09-19 12:09:00	1	CULEX TARSALIS	41.76575252485466, -87.56246520793836	41.7657525248547	-87.5624652079384
128	2019	49910	131XX S BRANDON AVE	T209	GRAVID	2019-09-19 12:09:00	1	CULEX TARSALIS	41.657068875649955, -87.54604886505916	41.65706887565	-87.5460488650592
129	2019	49838	13XX N LARAMIE AVE	T230	GRAVID	2019-09-19 12:09:00	2	CULEX RESTUANS	41.904773447835936, -87.75568575289235	41.9047734478359	-87.7556857528923
130	2019	49885	77XX S EBERHART AVE	T080	GRAVID	2019-09-19 12:09:00	42	CULEX PIPIENS/RESTUANS	41.75414841411549, -87.61272102258191	41.7541484141155	-87.6127210225819
131	2019	49823	1XX N CENTRAL PARK DR	T030	GRAVID	2019-09-19 12:09:00	13	CULEX PIPIENS/RESTUANS	41.8837717767951, -87.71616836510131	41.8837717767951	-87.7161683651013
132	2019	49849	22XX N CANNON DR	T054A	GRAVID	2019-09-19 12:09:00	2	CULEX RESTUANS	41.92273664946568, -87.63244996720142	41.9227366494657	-87.6324499672014
133	2019	49804	61XX N LEMONT AVE	T012	GRAVID	2019-09-19 12:09:00	21	CULEX PIPIENS/RESTUANS	41.99356436155678, -87.74542038704298	41.9935643615568	-87.745420387043
134	2019	49858	35XX W 51ST ST	T062	GRAVID	2019-09-19 12:09:00	50	CULEX PIPIENS/RESTUANS	41.8005970872007, -87.7117303452467	41.8005970872007	-87.7117303452467
135	2019	49904	127XX S DOTY AVE	T115	GRAVID	2019-09-19 12:09:00	4	CULEX PIPIENS/RESTUANS	41.66238672759086, -87.59017972751752	41.6623867275909	-87.5901797275175
136	2019	49798	41XX N OAK PARK AVE	T002	GRAVID	2019-09-19 12:09:00	2	CULEX RESTUANS	41.956298856118664, -87.79751744482932	41.9562988561187	-87.7975174448293
137	2019	49800	70XX N MOSELLE AVE	T008	GRAVID	2019-09-19 12:09:00	6	CULEX PIPIENS/RESTUANS	42.007997503125345, -87.77823496507851	42.0079975031253	-87.7782349650785
138	2019	49840	1XX N CENTRAL PARK DR	T030B	SENTINEL	2019-09-19 12:09:00	13	CULEX PIPIENS/RESTUANS	41.88371129460932, -87.71609209177537	41.8837112946093	-87.7160920917754
139	2019	49854	25XX W GRAND AVE	T046B	SENTINEL	2019-09-19 12:09:00	42	CULEX PIPIENS/RESTUANS	41.891454520945864, -87.68976265642561	41.8914545209459	-87.6897626564256
140	2019	49814	58XX N WESTERN AVE	T028	GRAVID	2019-09-19 12:09:00	5	CULEX PIPIENS/RESTUANS	41.98724460846669, -87.68941677018957	41.9872446084667	-87.6894167701896
141	2019	49913	4XX E 130TH ST	T221	GRAVID	2019-09-19 12:09:00	1	CULEX RESTUANS	41.65923601846575, -87.61201512813366	41.6592360184657	-87.6120151281337
142	2019	49859	35XX W 51ST ST	T062	GRAVID	2019-09-19 12:09:00	6	CULEX RESTUANS	41.8005970872007, -87.7117303452467	41.8005970872007	-87.7117303452467
143	2019	49807	71XX N HARLEM AVE	T233	GRAVID	2019-09-19 12:09:00	42	CULEX PIPIENS/RESTUANS	42.0106432736568, -87.80679730045945	42.0106432736568	-87.8067973004595
145	2019	49894	17XX W 95TH ST	T094	GRAVID	2019-09-19 12:09:00	12	CULEX PIPIENS/RESTUANS	41.72128749967918, -87.66523570170051	41.7212874996792	-87.6652357017005
147	2019	49811	12XX W GREENLEAF AVE	T018	GRAVID	2019-09-19 12:09:00	1	CULEX PIPIENS/RESTUANS	42.01052928915475, -87.6608450688439	42.0105292891548	-87.6608450688439
148	2019	49881	71XX S SOUTH SHORE DR	T079	GRAVID	2019-09-19 12:09:00	7	CULEX PIPIENS/RESTUANS	41.76575252485466, -87.56246520793836	41.7657525248547	-87.5624652079384
149	2019	49871	82XX S KOSTNER AVE	T225	GRAVID	2019-09-19 12:09:00	1	CULEX RESTUANS	41.7426704781299, -87.73155005887604	41.7426704781299	-87.731550058876
150	2019	49819	17XX W ADDISON ST	T224	GRAVID	2019-09-19 12:09:00	25	CULEX PIPIENS/RESTUANS	41.94704449504484, -87.67306105349785	41.9470444950448	-87.6730610534978
151	2019	49891	104XX S VINCENNES AVE	T089	GRAVID	2019-09-19 12:09:00	1	CULEX PIPIENS/RESTUANS	41.70433841525342, -87.65708427193195	41.7043384152534	-87.657084271932
153	2019	49853	20XX N DOMINICK ST	T240	GRAVID	2019-09-19 12:09:00	3	CULEX PIPIENS/RESTUANS	41.91867575415674, -87.66437444367844	41.9186757541567	-87.6643744436784
154	2019	49880	71XX S SOUTH SHORE DR	T079	GRAVID	2019-09-19 12:09:00	1	CULEX PIPIENS	41.76575252485466, -87.56246520793836	41.7657525248547	-87.5624652079384
155	2019	49895	17XX W 95TH ST	T094	GRAVID	2019-09-19 12:09:00	2	CULEX RESTUANS	41.72128749967918, -87.66523570170051	41.7212874996792	-87.6652357017005
156	2019	49851	22XX N CANNON DR	T054B	GRAVID	2019-09-19 12:09:00	1	CULEX SALINARIUS	41.92206380002785, -87.63223305992274	41.9220638000278	-87.6322330599227
