measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,East Asia & Pacific - WB,Female,50 to 54,Opioid use disorders,Percent,1990,0.0014385949652864825,0.0016685872343582542,0.0012304386064727576
Deaths,East Asia & Pacific - WB,Male,55 to 59,Opioid use disorders,Percent,1990,0.0012048390291201246,0.0014294220931306615,0.0010194327850361533
Deaths,East Asia & Pacific - WB,Female,55 to 59,Opioid use disorders,Percent,1990,0.0011193814562814731,0.0013045070995931426,0.0009484966738371424
Deaths,East Asia & Pacific - WB,Male,60 to 64,Opioid use disorders,Percent,1990,0.0007812082258324244,0.0009136685985266344,0.0006655491734696868
Deaths,East Asia & Pacific - WB,Female,60 to 64,Opioid use disorders,Percent,1990,0.0008143048615854422,0.000959626951668152,0.000681006651366775
Deaths,East Asia & Pacific - WB,Male,65 to 69,Opioid use disorders,Percent,1990,0.0005437234906276546,0.0006430160708425278,0.00045860377741315325
Deaths,East Asia & Pacific - WB,Female,65 to 69,Opioid use disorders,Percent,1990,0.0006612298176307431,0.0007933733189203739,0.0005524544547490909
Deaths,North America,Male,25 to 29,Alcohol use disorders,Percent,1990,0.007396856651008517,0.007863516779898926,0.006954928400868106
Deaths,North America,Female,25 to 29,Alcohol use disorders,Percent,1990,0.0067512667028381095,0.007245489769508273,0.006284322983533185
Deaths,North America,Male,30 to 34,Alcohol use disorders,Percent,1990,0.013052971959133125,0.013690227374123383,0.012417024009813591
Deaths,North America,Female,30 to 34,Alcohol use disorders,Percent,1990,0.010562110845963556,0.011298336222183946,0.009961442649567066
Deaths,North America,Male,35 to 39,Alcohol use disorders,Percent,1990,0.01878730773354331,0.019639879905562724,0.017929760690982493
Deaths,North America,Female,35 to 39,Alcohol use disorders,Percent,1990,0.012438405170321614,0.013160259824436525,0.011707061263501845
Deaths,North America,Male,40 to 44,Alcohol use disorders,Percent,1990,0.020539721540535523,0.021479150429291594,0.019545034844458187
Deaths,North America,Female,40 to 44,Alcohol use disorders,Percent,1990,0.01166628445561122,0.012398925480303967,0.01087933085836855
Deaths,North America,Male,45 to 49,Alcohol use disorders,Percent,1990,0.01879086816042822,0.019606156124153194,0.017948404200374687
Deaths,North America,Female,45 to 49,Alcohol use disorders,Percent,1990,0.00917967813746216,0.009742047963145886,0.008601563973139147
Deaths,North America,Male,50 to 54,Alcohol use disorders,Percent,1990,0.014021357136576838,0.014582647687363337,0.01342784421165748
Deaths,North America,Female,50 to 54,Alcohol use disorders,Percent,1990,0.006533170242449416,0.006878791660778871,0.006186615686227835
Deaths,North America,Male,55 to 59,Alcohol use disorders,Percent,1990,0.009896402401306664,0.010265373697507981,0.009511110621187114
Deaths,North America,Female,55 to 59,Alcohol use disorders,Percent,1990,0.004310296768494721,0.004530881870348153,0.00409532994781906
Deaths,North America,Male,60 to 64,Alcohol use disorders,Percent,1990,0.006722020717068489,0.006980175859339252,0.0064582807339657435
Deaths,North America,Female,60 to 64,Alcohol use disorders,Percent,1990,0.0027737155843271873,0.002919004892872341,0.002629856747472857
Deaths,North America,Male,65 to 69,Alcohol use disorders,Percent,1990,0.004259319718297418,0.00444075152386985,0.004095419770939756
Deaths,North America,Female,65 to 69,Alcohol use disorders,Percent,1990,0.001710618664617574,0.0018143115280781373,0.0016054625084776346
Deaths,North America,Male,25 to 29,Opioid use disorders,Percent,1990,0.025582363615264715,0.02873830363034502,0.022932186613201243
Deaths,North America,Female,25 to 29,Opioid use disorders,Percent,1990,0.022018605100411096,0.02403620362106574,0.02021260304335867
Deaths,North America,Male,30 to 34,Opioid use disorders,Percent,1990,0.027860036721478573,0.030631138077575698,0.025291508507799796
Deaths,North America,Female,30 to 34,Opioid use disorders,Percent,1990,0.020807920185104335,0.02243837260329513,0.01915898018070651
Deaths,North America,Male,35 to 39,Opioid use disorders,Percent,1990,0.024628730318950326,0.027278702915985418,0.022415207343424236
Deaths,North America,Female,35 to 39,Opioid use disorders,Percent,1990,0.01667211806780861,0.01820638500480851,0.015207229581201956
Deaths,North America,Male,40 to 44,Opioid use disorders,Percent,1990,0.015381163881302699,0.01715024251471307,0.013917195330838569
Deaths,North America,Female,40 to 44,Opioid use disorders,Percent,1990,0.009710516125354611,0.010658867324288675,0.008904254579232922
Deaths,North America,Male,45 to 49,Opioid use disorders,Percent,1990,0.006822927966999212,0.007721631290337327,0.006057583238033358
Deaths,North America,Female,45 to 49,Opioid use disorders,Percent,1990,0.0049316190832008,0.005441435791851484,0.004501592687080349
Deaths,North America,Male,50 to 54,Opioid use disorders,Percent,1990,0.0026295591748330144,0.00292698345911014,0.002380864902659247
Deaths,North America,Female,50 to 54,Opioid use disorders,Percent,1990,0.002534773025168324,0.0027511657488396507,0.0023274056683687096
Deaths,North America,Male,55 to 59,Opioid use disorders,Percent,1990,0.001137705754427296,0.0012614056521453928,0.0010266998802403475
Deaths,North America,Female,55 to 59,Opioid use disorders,Percent,1990,0.0013578360505815566,0.0014714912799447448,0.0012513345546397586
Deaths,North America,Male,60 to 64,Opioid use disorders,Percent,1990,0.0005307613875689974,0.000577097863779128,0.00048614667393322494
Deaths,North America,Female,60 to 64,Opioid use disorders,Percent,1990,0.0007390800999469393,0.0007978393195648974,0.000684296751085681
Deaths,North America,Male,65 to 69,Opioid use disorders,Percent,1990,0.0003199096660058041,0.0003437789061032196,0.0002974343099686038
Deaths,North America,Female,65 to 69,Opioid use disorders,Percent,1990,0.00045969158949060154,0.000489966771677162,0.00043130699418878366
Deaths,Middle East & North Africa - WB,Male,25 to 29,Alcohol use disorders,Percent,1991,0.0019175940046219692,0.0023782279689849805,0.001109996753121408
Deaths,Middle East & North Africa - WB,Female,25 to 29,Alcohol use disorders,Percent,1991,0.0009006018952055697,0.0010398286704724946,0.0007849197832090729
Deaths,Middle East & North Africa - WB,Male,30 to 34,Alcohol use disorders,Percent,1991,0.002682151781164181,0.00335717831883623,0.0018397712765832932
Deaths,Middle East & North Africa - WB,Female,30 to 34,Alcohol use disorders,Percent,1991,0.0009419250297209245,0.0010876319231560437,0.0008233151155162953
Deaths,Middle East & North Africa - WB,Male,35 to 39,Alcohol use disorders,Percent,1991,0.0029159538768089685,0.0036093175175773446,0.002011589883939383
Deaths,Middle East & North Africa - WB,Female,35 to 39,Alcohol use disorders,Percent,1991,0.0009080545992572515,0.0010686127864681485,0.0007825425352328413
Deaths,Middle East & North Africa - WB,Male,40 to 44,Alcohol use disorders,Percent,1991,0.0028275609884656945,0.0035434032606508313,0.0021206892374813005
Deaths,Middle East & North Africa - WB,Female,40 to 44,Alcohol use disorders,Percent,1991,0.0007835988538700972,0.0009220090855269122,0.0006768055117113792
Deaths,Middle East & North Africa - WB,Male,45 to 49,Alcohol use disorders,Percent,1991,0.0023596112330160363,0.002868673776634967,0.0017949224220109113
Deaths,Middle East & North Africa - WB,Female,45 to 49,Alcohol use disorders,Percent,1991,0.00048500120143882573,0.0005623647643634614,0.0004190458061625495
Deaths,Middle East & North Africa - WB,Male,50 to 54,Alcohol use disorders,Percent,1991,0.0014904462710847962,0.0017691757284818402,0.001165652049536656
Deaths,Middle East & North Africa - WB,Female,50 to 54,Alcohol use disorders,Percent,1991,0.00032074332862982416,0.000376265122674458,0.00027672394230499053
Deaths,Middle East & North Africa - WB,Male,55 to 59,Alcohol use disorders,Percent,1991,0.0010824386212829637,0.0012879955446309696,0.0008627182020885636
Deaths,Middle East & North Africa - WB,Female,55 to 59,Alcohol use disorders,Percent,1991,0.00022692480488158972,0.0002607855603648536,0.00019307940437145564
Deaths,Middle East & North Africa - WB,Male,60 to 64,Alcohol use disorders,Percent,1991,0.0007262250740568713,0.0008606620014781691,0.0005734384838088712
Deaths,Middle East & North Africa - WB,Female,60 to 64,Alcohol use disorders,Percent,1991,0.00015914826398603574,0.00018086453849775933,0.00013376313475072063
Deaths,Middle East & North Africa - WB,Male,65 to 69,Alcohol use disorders,Percent,1991,0.00045469311815807636,0.0005395181553658881,0.00036412203981801665
Deaths,Middle East & North Africa - WB,Female,65 to 69,Alcohol use disorders,Percent,1991,0.00012098159209708592,0.00014008331355594422,9.625781411361385e-05
Deaths,Middle East & North Africa - WB,Male,25 to 29,Opioid use disorders,Percent,1991,0.008238808230875302,0.010309835758270089,0.006464279268328337
Deaths,Middle East & North Africa - WB,Female,25 to 29,Opioid use disorders,Percent,1991,0.0046454097816426365,0.00571682907884522,0.0037812596265186654
Deaths,Middle East & North Africa - WB,Male,30 to 34,Opioid use disorders,Percent,1991,0.007045197675558868,0.008815338976526987,0.005323052565896492
Deaths,Middle East & North Africa - WB,Female,30 to 34,Opioid use disorders,Percent,1991,0.004176275267097537,0.005090173930348873,0.0033761135083360053
Deaths,Middle East & North Africa - WB,Male,35 to 39,Opioid use disorders,Percent,1991,0.005874366206942103,0.0074125433146425826,0.004532333739549723
Deaths,Middle East & North Africa - WB,Female,35 to 39,Opioid use disorders,Percent,1991,0.003148748209956512,0.003965866037700494,0.0024978225400909245
Deaths,Middle East & North Africa - WB,Male,40 to 44,Opioid use disorders,Percent,1991,0.004866421412640684,0.005845706812465922,0.0038814957156028734
Deaths,Middle East & North Africa - WB,Female,40 to 44,Opioid use disorders,Percent,1991,0.0022885765679731477,0.002888314618493004,0.001877715526548827
Deaths,Middle East & North Africa - WB,Male,45 to 49,Opioid use disorders,Percent,1991,0.0023949103026738743,0.0029993432401511904,0.001897097128914743
Deaths,Middle East & North Africa - WB,Female,45 to 49,Opioid use disorders,Percent,1991,0.0015425105287060546,0.002001076492164176,0.0011878981227767802
Deaths,Middle East & North Africa - WB,Male,50 to 54,Opioid use disorders,Percent,1991,0.0013447472739992546,0.0016659780563921978,0.0010703280721863994
Deaths,Middle East & North Africa - WB,Female,50 to 54,Opioid use disorders,Percent,1991,0.0008951560136632645,0.0010911759998307505,0.0007159299995959816
Deaths,Middle East & North Africa - WB,Male,55 to 59,Opioid use disorders,Percent,1991,0.0008607974588563054,0.0010803257902968337,0.0006855006067031669
Deaths,Middle East & North Africa - WB,Female,55 to 59,Opioid use disorders,Percent,1991,0.0006107027714357187,0.0007606542176470482,0.00042853172239120865
Deaths,Middle East & North Africa - WB,Male,60 to 64,Opioid use disorders,Percent,1991,0.0005360747404704755,0.0007081435672168536,0.0004370947950271826
Deaths,Middle East & North Africa - WB,Female,60 to 64,Opioid use disorders,Percent,1991,0.00035530862579990683,0.0004602871148797637,0.0002457130440190942
Deaths,Middle East & North Africa - WB,Male,65 to 69,Opioid use disorders,Percent,1991,0.00032301224964629036,0.00043767775023515024,0.00026535148630184335
Deaths,Middle East & North Africa - WB,Female,65 to 69,Opioid use disorders,Percent,1991,0.0003131949376610018,0.0004097505752788485,0.00018633003469877766
Deaths,Europe & Central Asia - WB,Male,25 to 29,Alcohol use disorders,Percent,1990,0.029444301424027774,0.030948302894735165,0.02744538194294883
Deaths,Europe & Central Asia - WB,Female,25 to 29,Alcohol use disorders,Percent,1990,0.01647066307738099,0.01757876185930838,0.01524624912299846
Deaths,Europe & Central Asia - WB,Male,30 to 34,Alcohol use disorders,Percent,1990,0.04791472301251795,0.04989549163684101,0.04503048401004418
Deaths,Europe & Central Asia - WB,Female,30 to 34,Alcohol use disorders,Percent,1990,0.02479768239712968,0.02616860130319838,0.022772588554873803
Deaths,Europe & Central Asia - WB,Male,35 to 39,Alcohol use disorders,Percent,1990,0.05546239638192947,0.057783374262569916,0.05216289648259887
Deaths,Europe & Central Asia - WB,Female,35 to 39,Alcohol use disorders,Percent,1990,0.029138045120615186,0.03073609512073819,0.026752430770432205
Deaths,Europe & Central Asia - WB,Male,40 to 44,Alcohol use disorders,Percent,1990,0.05063115999043555,0.05277990541534602,0.04730748976853477
Deaths,Europe & Central Asia - WB,Female,40 to 44,Alcohol use disorders,Percent,1990,0.02743580994882257,0.028794982590691482,0.025692703567841313
Deaths,Europe & Central Asia - WB,Male,45 to 49,Alcohol use disorders,Percent,1990,0.03797595908403245,0.03967168535987635,0.035714397955249715
Deaths,Europe & Central Asia - WB,Female,45 to 49,Alcohol use disorders,Percent,1990,0.02235034970689035,0.023559130767083835,0.020769174265831147
Deaths,Europe & Central Asia - WB,Male,50 to 54,Alcohol use disorders,Percent,1990,0.029490438104028245,0.030637849692604104,0.028112077878157667
Deaths,Europe & Central Asia - WB,Female,50 to 54,Alcohol use disorders,Percent,1990,0.01872957434044383,0.01958152595825666,0.017654280107152844
Deaths,Europe & Central Asia - WB,Male,55 to 59,Alcohol use disorders,Percent,1990,0.017588086024496682,0.018221214190441686,0.01673151382775582
Deaths,Europe & Central Asia - WB,Female,55 to 59,Alcohol use disorders,Percent,1990,0.011872098871702427,0.0123874030393203,0.0112582629066162
Deaths,Europe & Central Asia - WB,Male,60 to 64,Alcohol use disorders,Percent,1990,0.009505302724033942,0.009823588953964828,0.009112171162118193
Deaths,Europe & Central Asia - WB,Female,60 to 64,Alcohol use disorders,Percent,1990,0.006145098690471311,0.006388946283429734,0.005864619707406278
Deaths,Europe & Central Asia - WB,Male,65 to 69,Alcohol use disorders,Percent,1990,0.004559243283384161,0.004744181457934676,0.004371026141084655
Deaths,Europe & Central Asia - WB,Female,65 to 69,Alcohol use disorders,Percent,1990,0.002727780623850455,0.002845861899558089,0.002611755343555289
Deaths,Europe & Central Asia - WB,Male,25 to 29,Opioid use disorders,Percent,1990,0.02164773988707494,0.023023302156070225,0.020363709794541333
Deaths,Europe & Central Asia - WB,Female,25 to 29,Opioid use disorders,Percent,1990,0.012028884908674207,0.01275229393761751,0.01132166520017171
Deaths,Europe & Central Asia - WB,Male,30 to 34,Opioid use disorders,Percent,1990,0.015516427859463068,0.016493907289615375,0.01465160116189618
Deaths,Europe & Central Asia - WB,Female,30 to 34,Opioid use disorders,Percent,1990,0.00815097197078258,0.008591375867070667,0.007698588156853986
Deaths,Europe & Central Asia - WB,Male,35 to 39,Opioid use disorders,Percent,1990,0.009046230941936592,0.009809730296408305,0.008466567592604769
Deaths,Europe & Central Asia - WB,Female,35 to 39,Opioid use disorders,Percent,1990,0.005197743262387462,0.0054748402574332534,0.004897940738943218
Deaths,Europe & Central Asia - WB,Male,40 to 44,Opioid use disorders,Percent,1990,0.005109270967717656,0.00569087696146641,0.004667959733981685
Deaths,Europe & Central Asia - WB,Female,40 to 44,Opioid use disorders,Percent,1990,0.003277637022979589,0.0034891661344157534,0.003058746160873578
Deaths,Europe & Central Asia - WB,Male,45 to 49,Opioid use disorders,Percent,1990,0.002965208525733461,0.0034161430618567345,0.0026429613151264975
Deaths,Europe & Central Asia - WB,Female,45 to 49,Opioid use disorders,Percent,1990,0.0022156780026736326,0.0023798665961516346,0.00205323583176351
Deaths,Europe & Central Asia - WB,Male,50 to 54,Opioid use disorders,Percent,1990,0.0021818248786808323,0.002546343841275087,0.0019381069511145233
Deaths,Europe & Central Asia - WB,Female,50 to 54,Opioid use disorders,Percent,1990,0.001928827368045707,0.002067340824076524,0.001771267084291342
Deaths,Europe & Central Asia - WB,Male,55 to 59,Opioid use disorders,Percent,1990,0.0011986964344114412,0.0014032080060002374,0.0010609890509480746
Deaths,Europe & Central Asia - WB,Female,55 to 59,Opioid use disorders,Percent,1990,0.001168110279797127,0.0012545524911979442,0.001073825752084348
Deaths,Europe & Central Asia - WB,Male,60 to 64,Opioid use disorders,Percent,1990,0.000705159846617407,0.0007915380310332609,0.0006364587369774688
Deaths,Europe & Central Asia - WB,Female,60 to 64,Opioid use disorders,Percent,1990,0.0007233227649356296,0.0007691485129977221,0.0006642229463882146
Deaths,Europe & Central Asia - WB,Male,65 to 69,Opioid use disorders,Percent,1990,0.0003331562048916806,0.00036264164130502056,0.0003091136720009557
Deaths,Europe & Central Asia - WB,Female,65 to 69,Opioid use disorders,Percent,1990,0.0004076119299261742,0.0004287038228051926,0.00037778403090899627
Deaths,Latin America & Caribbean - WB,Male,25 to 29,Alcohol use disorders,Percent,1990,0.01400772732059489,0.014789615113946384,0.012978041906723045
Deaths,Latin America & Caribbean - WB,Female,25 to 29,Alcohol use disorders,Percent,1990,0.002978890014570628,0.003232829194041034,0.0027580955449931165
Deaths,Latin America & Caribbean - WB,Male,30 to 34,Alcohol use disorders,Percent,1990,0.024423191343575203,0.025691196024997212,0.022811856007382784
Deaths,Latin America & Caribbean - WB,Female,30 to 34,Alcohol use disorders,Percent,1990,0.0050092769739941865,0.005380099416644537,0.004671131974175711
Deaths,Latin America & Caribbean - WB,Male,35 to 39,Alcohol use disorders,Percent,1990,0.03150577308625787,0.03303963230599941,0.029632630445259697
Deaths,Latin America & Caribbean - WB,Female,35 to 39,Alcohol use disorders,Percent,1990,0.006039120413693301,0.006449284983111237,0.00568090567033186
Deaths,Latin America & Caribbean - WB,Male,40 to 44,Alcohol use disorders,Percent,1990,0.0324616824951913,0.033998313729552164,0.030532292828932304
Deaths,Latin America & Caribbean - WB,Female,40 to 44,Alcohol use disorders,Percent,1990,0.005878102776665738,0.006249818167046198,0.005523531979207208
Deaths,Latin America & Caribbean - WB,Male,45 to 49,Alcohol use disorders,Percent,1990,0.029595610764819376,0.03109394700449455,0.02802371091733329
Deaths,Latin America & Caribbean - WB,Female,45 to 49,Alcohol use disorders,Percent,1990,0.005086041049257337,0.005398123159408344,0.004779333884161951
Deaths,Latin America & Caribbean - WB,Male,50 to 54,Alcohol use disorders,Percent,1990,0.02286129694950847,0.024027050122627902,0.021186700284997268
Deaths,Latin America & Caribbean - WB,Female,50 to 54,Alcohol use disorders,Percent,1990,0.003304024978605861,0.0035264601920564267,0.0030919548114826455
Deaths,Latin America & Caribbean - WB,Male,55 to 59,Alcohol use disorders,Percent,1990,0.01717887018986905,0.017997000909173826,0.01598244009867397
Deaths,Latin America & Caribbean - WB,Female,55 to 59,Alcohol use disorders,Percent,1990,0.0023015955647477395,0.002473333186022416,0.002158298649948738
Deaths,Latin America & Caribbean - WB,Male,60 to 64,Alcohol use disorders,Percent,1990,0.010906630838148463,0.011416178100992798,0.010062863413710266
Deaths,Latin America & Caribbean - WB,Female,60 to 64,Alcohol use disorders,Percent,1990,0.0014940874705998684,0.0015946384892699048,0.0013959898417962838
Deaths,Latin America & Caribbean - WB,Male,65 to 69,Alcohol use disorders,Percent,1990,0.0075634354076304575,0.007928724456071363,0.007040970647554275
Deaths,Latin America & Caribbean - WB,Female,65 to 69,Alcohol use disorders,Percent,1990,0.0009993877034423326,0.0010797725265738244,0.0009274514730593758
Deaths,Latin America & Caribbean - WB,Male,25 to 29,Opioid use disorders,Percent,1990,0.0003923294042706137,0.0004337199439161075,0.0003536359996860263
Deaths,Latin America & Caribbean - WB,Female,25 to 29,Opioid use disorders,Percent,1990,0.00035741432152225957,0.0004057009631505581,0.00031881260390089335
Deaths,Latin America & Caribbean - WB,Male,30 to 34,Opioid use disorders,Percent,1990,0.000531034590831659,0.0005822936309224963,0.000481131041823887
Deaths,Latin America & Caribbean - WB,Female,30 to 34,Opioid use disorders,Percent,1990,0.0002999915943088455,0.0003346984036627977,0.00027166015637053876
Deaths,Latin America & Caribbean - WB,Male,35 to 39,Opioid use disorders,Percent,1990,0.0004734971150786132,0.0005217271227776078,0.0004305938203797106
Deaths,Latin America & Caribbean - WB,Female,35 to 39,Opioid use disorders,Percent,1990,0.00020853303319279804,0.000235381892491304,0.00018727644858349286
Deaths,Latin America & Caribbean - WB,Male,40 to 44,Opioid use disorders,Percent,1990,0.00039017514242699965,0.0004347214792101954,0.00035108926237507415
Deaths,Latin America & Caribbean - WB,Female,40 to 44,Opioid use disorders,Percent,1990,0.00015798007931143248,0.0001752669264976152,0.00014295432978334458
Deaths,Latin America & Caribbean - WB,Male,45 to 49,Opioid use disorders,Percent,1990,0.00024042300934443877,0.0002740578984664207,0.0002128526392968259
Deaths,Latin America & Caribbean - WB,Female,45 to 49,Opioid use disorders,Percent,1990,9.490013439570616e-05,0.00010605974225365079,8.500278274837711e-05
Deaths,Latin America & Caribbean - WB,Male,50 to 54,Opioid use disorders,Percent,1990,0.0001797940951365536,0.00020291092126866131,0.00016053731286432327
Deaths,Latin America & Caribbean - WB,Female,50 to 54,Opioid use disorders,Percent,1990,9.595404804037108e-05,0.0001048828185212012,8.782347574635464e-05
Deaths,Latin America & Caribbean - WB,Male,55 to 59,Opioid use disorders,Percent,1990,0.00011806319217617083,0.00013611451109179395,0.00010348099598830217
Deaths,Latin America & Caribbean - WB,Female,55 to 59,Opioid use disorders,Percent,1990,7.684444802148521e-05,8.624597388535331e-05,6.925933926381498e-05
Deaths,Latin America & Caribbean - WB,Male,60 to 64,Opioid use disorders,Percent,1990,9.17842140319554e-05,0.00010561768011574533,7.970021584361377e-05
Deaths,Latin America & Caribbean - WB,Female,60 to 64,Opioid use disorders,Percent,1990,5.643346734160266e-05,6.212027012335762e-05,5.14250686279878e-05
Deaths,Latin America & Caribbean - WB,Male,65 to 69,Opioid use disorders,Percent,1990,6.772635576225301e-05,7.839888882007194e-05,5.9092388886105565e-05
Deaths,Latin America & Caribbean - WB,Female,65 to 69,Opioid use disorders,Percent,1990,5.4882172103242486e-05,5.9685106348231906e-05,5.0351117629816355e-05
Deaths,Sub-Saharan Africa - WB,Male,25 to 29,Alcohol use disorders,Percent,1990,0.001605874885845565,0.001966571878712006,0.001221333049563417
Deaths,Sub-Saharan Africa - WB,Female,25 to 29,Alcohol use disorders,Percent,1990,0.0004760625426312012,0.0005838593955150213,0.00038058564052289765
Deaths,Sub-Saharan Africa - WB,Male,30 to 34,Alcohol use disorders,Percent,1990,0.002163757975195775,0.002634864784140148,0.001657499703021432
Deaths,Sub-Saharan Africa - WB,Female,30 to 34,Alcohol use disorders,Percent,1990,0.00076255377994529,0.0009139574578335961,0.0006204772963327221
Deaths,Sub-Saharan Africa - WB,Male,35 to 39,Alcohol use disorders,Percent,1990,0.0022023140899290927,0.0026494103545047823,0.0016439209195396784
Deaths,Sub-Saharan Africa - WB,Female,35 to 39,Alcohol use disorders,Percent,1990,0.0011074859737430908,0.0013258970722414447,0.0009229822279602294
Deaths,Sub-Saharan Africa - WB,Male,40 to 44,Alcohol use disorders,Percent,1990,0.0033879743217256858,0.00403741559170293,0.0024828015898879733
Deaths,Sub-Saharan Africa - WB,Female,40 to 44,Alcohol use disorders,Percent,1990,0.0009767778959915252,0.0011527942507295857,0.0008187146072954556
Deaths,Sub-Saharan Africa - WB,Male,45 to 49,Alcohol use disorders,Percent,1990,0.004760927645685023,0.0057045303282826365,0.0037541815392091527
Deaths,Sub-Saharan Africa - WB,Female,45 to 49,Alcohol use disorders,Percent,1990,0.0010142184524737777,0.0011953846653937335,0.0008558156237324461
Deaths,Sub-Saharan Africa - WB,Male,50 to 54,Alcohol use disorders,Percent,1990,0.0038766632743583817,0.004521722112875331,0.0029647492515325734
Deaths,Sub-Saharan Africa - WB,Female,50 to 54,Alcohol use disorders,Percent,1990,0.000840473429902428,0.0009857643435829792,0.0007058599719478944
Deaths,Sub-Saharan Africa - WB,Male,55 to 59,Alcohol use disorders,Percent,1990,0.004197443750578918,0.004862344874058428,0.003188902292934156
Deaths,Sub-Saharan Africa - WB,Female,55 to 59,Alcohol use disorders,Percent,1990,0.0003768506598764325,0.0004446441978700659,0.0003176326324888184
Deaths,Sub-Saharan Africa - WB,Male,60 to 64,Alcohol use disorders,Percent,1990,0.0031118120769123925,0.003668307418477454,0.0023711332816274766
Deaths,Sub-Saharan Africa - WB,Female,60 to 64,Alcohol use disorders,Percent,1990,0.00033370238065211016,0.0003903964726265037,0.000283290267811849
Deaths,Sub-Saharan Africa - WB,Male,65 to 69,Alcohol use disorders,Percent,1990,0.0007668892259204289,0.000868330611499072,0.000611397501598339
